sample_number;IR_temp;IR_mean;n_UL;T_dryness
1;26,6;26,95;870;40
2;26,2;;;
3;26,4;;;
4;27,5;;;
5;26,7;;;
6;28;;;
7;26,5;;;
8;29,6;;;
9;26,1;;;
10;26,3;;;
11;26,9;;;
12;26,2;;;
13;27,5;;;
14;26,8;;;
15;27,5;;;
16;26,6;;;
17;26,4;;;
18;26,4;;;
19;26,6;;;
20;27,3;;;
21;26,1;;;
22;26,3;;;
23;27,3;;;
24;27,7;;;
25;26,8;;;
26;28,1;;;
27;26,4;;;
28;27,5;;;
29;27,4;;;
30;27,1;;;
31;26,7;;;
32;26,9;;;
33;28,8;27,463;1500;40
34;28;;;
35;27,7;;;
36;28,3;;;
37;26,2;;;
38;27,9;;;
39;26,1;;;
40;26,4;;;
41;27,1;;;
42;26,3;;;
43;28,3;;;
44;28,2;;;
45;28,3;;;
46;27;;;
47;28;;;
48;27,3;;;
49;28;;;
50;26,6;;;
51;27;;;
52;28,8;;;
53;27,6;;;
54;26,8;;;
55;26,4;;;
56;28;;;
57;27,8;;;
58;27,7;;;
59;28,7;;;
60;27,7;;;
61;26,8;;;
62;27,3;;;
63;28,1;;;
64;27,2;;;
65;26,4;;;
66;26,7;;;
67;27,7;;;
68;26,5;27,329;2000;40
69;28,4;;;
70;27,2;;;
71;27,2;;;
72;26,6;;;
73;26,2;;;
74;26,3;;;
75;27,1;;;
76;27,5;;;
77;26,2;;;
78;27,3;;;
79;27,1;;;
80;27,6;;;
81;27,2;;;
82;27,8;;;
83;27,8;;;
84;26,8;;;
85;28,8;;;
86;27,6;;;
87;27,9;;;
88;29;;;
89;27,3;;;
90;28,2;;;
91;27,8;;;
92;28,2;;;
93;27,2;;;
94;27,2;;;
95;26,7;;;
96;27,5;;;
97;26,9;;;
98;28,3;;;
99;26,6;;;
100;26,4;;;
101;26,8;;;
102;26,1;27,03;2500;40
103;25,9;;;
104;29,1;;;
105;27;;;
106;27,9;;;
107;26;;;
108;26,5;;;
109;26,5;;;
110;27,3;;;
111;26,1;;;
112;28;;;
113;26,7;;;
114;26,6;;;
115;26,4;;;
116;27,8;;;
117;26,3;;;
118;26,4;;;
119;27,6;;;
120;27;;;
121;27,1;;;
122;26,6;;;
123;26,6;;;
124;26,7;;;
125;28,5;;;
126;27,7;;;
127;26,9;;;
128;26,6;;;
129;29,3;;;
130;26,9;;;
131;27,5;;;
132;26,9;;;
133;27,4;;;
134;26,1;;;
135;26,2;27,479;2905;40
136;26;;;
137;26,8;;;
138;27,2;;;
139;26,5;;;
140;26,3;;;
141;27,9;;;
142;27,7;;;
143;27,2;;;
144;28,4;;;
145;26,9;;;
146;27,8;;;
147;27,9;;;
148;27,2;;;
149;28,7;;;
150;26,9;;;
151;27,7;;;
152;27,9;;;
153;28,6;;;
154;27,8;;;
155;27,3;;;
156;27,4;;;
157;27,8;;;
158;26,9;;;
159;27,7;;;
160;27,9;;;
161;27,9;;;
162;27,2;;;
163;28,1;;;
164;27;;;
165;28,2;;;
166;27,9;;;
167;27,8;;;
168;27,6;;;
169;26,7;26,62;3000;40
170;27,2;;;
171;26,5;;;
172;26,3;;;
173;29,4;;;
174;26,4;;;
175;26,1;;;
176;25,5;;;
177;27,3;;;
178;26,8;;;
179;26,3;;;
180;26;;;
181;27,1;;;
182;25,6;;;
183;26,5;;;
184;26,5;;;
185;26;;;
186;25,6;;;
187;26,3;;;
188;25,8;;;
189;25,6;;;
190;27,7;;;
191;26,5;;;
192;27,3;;;
193;27,1;;;
194;26,4;;;
195;28,5;;;
196;25,7;;;
197;27,2;;;
198;26,4;;;
199;26,6;;;
200;26,1;;;
201;26;;;
202;27,4;;;
203;27,3;;;
204;26,5;26,973;870;0
205;26,3;;;
206;26,6;;;
207;26,6;;;
208;29,3;;;
209;26,9;;;
210;26,3;;;
211;26,7;;;
212;28;;;
213;26,1;;;
214;28;;;
215;26,4;;;
216;26,6;;;
217;26,6;;;
218;26,5;;;
219;29,4;;;
220;25,4;;;
221;26,4;;;
222;27,2;;;
223;26,7;;;
224;27,5;;;
225;27,3;;;
226;26,1;;;
227;27,1;;;
228;26,5;;;
229;26;;;
230;27,5;;;
231;26,8;;;
232;26,6;;;
233;27,5;;;
234;27,9;;;
235;27,1;;;
236;27,7;;;
237;26,4;26,481;1500;0
238;26,8;;;
239;25,6;;;
240;27,5;;;
241;26,8;;;
242;26,1;;;
243;27,2;;;
244;27;;;
245;26,8;;;
246;25,6;;;
247;26,4;;;
248;25,8;;;
249;25,7;;;
250;25,8;;;
251;25,8;;;
252;27,5;;;
253;26,8;;;
254;26,9;;;
255;26,3;;;
256;26,4;;;
257;27,2;;;
258;25,9;;;
259;26,1;;;
260;26,8;;;
261;26,5;;;
262;25,9;;;
263;26,5;;;
264;26,2;;;
265;26,2;;;
266;26,2;;;
267;27,9;;;
268;25,3;;;
269;26,8;;;
270;27,1;;;
271;26,6;;;
272;26,9;;;
273;24,6;24,60833333;2000;0
274;24,4;;;
275;24,5;;;
276;24,9;;;
277;24,4;;;
278;24,3;;;
279;24,6;;;
280;24,8;;;
281;25,2;;;
282;24,4;;;
283;24,1;;;
284;24,3;;;
285;24,6;;;
286;24,7;;;
287;25;;;
288;24,8;;;
289;25,1;;;
290;24,8;;;
291;24,9;;;
292;24,6;;;
293;24,8;;;
294;24;;;
295;24,5;;;
296;24,3;;;
297;24,3;24,54583333;2500;0
298;24;;;
299;23,4;;;
300;23,9;;;
301;24,6;;;
302;24;;;
303;24,1;;;
304;24,5;;;
305;25;;;
306;24,4;;;
307;25,1;;;
308;25,2;;;
309;25,9;;;
310;24,3;;;
311;25,4;;;
312;24,6;;;
313;25,2;;;
314;24,2;;;
315;24,2;;;
316;24,9;;;
317;24,2;;;
318;24;;;
319;25;;;
320;24,7;;;
321;25,4;25,45833333;2905;0
322;25;;;
323;25,7;;;
324;24,9;;;
325;25,7;;;
326;25,1;;;
327;25,7;;;
328;25,5;;;
329;25,5;;;
330;25,6;;;
331;24,6;;;
332;25,6;;;
333;26,1;;;
334;26;;;
335;25,5;;;
336;25,1;;;
337;24,9;;;
338;23,6;;;
339;27,1;;;
340;25,5;;;
341;25,7;;;
342;25,4;;;
343;26,2;;;
344;25,6;;;
345;26,6;26,525;3000;0
346;27,3;;;
347;25,7;;;
348;26,5;;;
349;25,6;;;
350;25,8;;;
351;27,3;;;
352;25,5;;;
353;27,1;;;
354;26,4;;;
355;26,7;;;
356;26;;;
357;25,7;;;
358;26,7;;;
359;26,6;;;
360;26,5;;;
361;26,9;;;
362;26,8;;;
363;26,2;;;
364;26,6;;;
365;26,6;;;
366;27,6;;;
367;26,7;;;
368;27,2;;;
