t_duration;;n_set;;m_before;m_after;m_diff;m_diff_mean
480s;;1;;3,067;4,6464;1,5794;1,713555556
;;;;;;0;
;;2;;5,7776;7,5493;1,7717;
;;;;5,7792;7,2445;1,4653;
;;3;;5,7315;7,5644;1,8329;
;;;;5,7595;7,4067;1,6472;
;;4;;5,7554;7,7753;2,0199;
;;;;5,749;7,3304;1,5814;
;;5;;5,7241;7,2776;1,5535;
;;;;7,306;9,2767;1,9707;
;;;;;;0;
240s;;1;;5,7343;7,6062;1,8719;1,97645
;;;;5,735;7,9581;2,2231;
;;2;;5,6296;7,3513;1,7217;
;;;;5,7299;7,2577;1,5278;
;;3;;5,7218;8,1083;2,3865;
;;;;5,7374;7,9877;2,2503;
;;4;;5,6333;7,9121;2,2788;
;;;;5,6581;7,4577;1,7996;
;;5;;5,6417;7,3921;1,7504;
;;;;5,6246;7,579;1,9544;
120s;;1;;5,7702;8,148;2,3778;2,69258
;;;;5,7558;8,577;2,8212;
;;2;;5,7766;9,469;3,6924;
;;;;5,7131;8,3345;2,6214;
;;3;;5,6525;8,1641;2,5116;
;;;;5,6228;7,7471;2,1243;
;;4;;5,7734;8,9001;3,1267;
;;;;5,7538;8,3955;2,6417;
;;5;;5,7441;8,0196;2,2755;
;;;;5,7356;8,4688;2,7332;
60s;;1;;5,7366;8,5532;2,8166;2,69891
;;;;5,7562;8,2735;2,5173;
;;2;;5,6461;9,1344;3,4883;
;;;;5,7221;7,9472;2,2251;
;;3;;5,6513;8,8167;3,1654;
;;;;5,6562;7,9049;2,2487;
;;4;;5,7051;8,4408;2,7357;
;;;;5,6531;8,2096;2,5565;
;;5;;5,6772;8,6625;2,9853;
;;;;5,6475;7,8977;2,2502;
