Testnummer;vorher;nachher;;Differenz;Durchschnitt;Drehzahl ;Temperatur Umluftventilator
1;2,7098;3,4314;;0,7216;0,81176;870;40°C
2;3,047;3,8356;;0,7886;;;
3;3,0427;3,8792;;0,8365;;;
4;3,0687;3,8419;;0,7732;;;
5;3,0339;3,7806;;0,7467;;;
6;3,0582;3,8265;;0,7683;;;
7;3,0556;3,9024;;0,8468;;;
8;3,0249;3,9422;;0,9173;;;
9;3,0563;3,8731;;0,8168;;;
10;3,0669;3,9687;;0,9018;;;
11;3,0671;3,5368;;0,4697;0,51757;1500;40°C
12;3,0548;3,5746;;0,5198;;;
13;3,0753;3,6242;;0,5489;;;
14;3,0652;3,5694;;0,5042;;;
15;3,0418;3,622;;0,5802;;;
16;3,0558;3,5559;;0,5001;;;
17;3,0406;3,4973;;0,4567;;;
18;3,0969;3,6344;;0,5375;;;
19;3,0719;3,5551;;0,4832;;;
20;3,0524;3,6278;;0,5754;;;
21;3,0881;3,36597;;0,27787;0,292457;2000;40°C
22;3,0546;3,4144;;0,3598;;;
23;3,055;3,3309;;0,2759;;;
24;3,0384;3,3061;;0,2677;;;
25;3,0424;3,3292;;0,2868;;;
26;3,0508;3,3485;;0,2977;;;
27;3,0517;3,3531;;0,3014;;;
28;3,0075;3,2514;;0,2439;;;
29;3,0933;3,4128;;0,3195;;;
30;3,0981;3,3921;;0,294;;;
31;2,6967;2,773;;0,0763;0,10597;2500;40°C
32;2,6977;2,8061;;0,1084;;;
33;2,6973;2,8042;;0,1069;;;
34;2,6966;2,8148;;0,1182;;;
35;2,7034;2,7988;;0,0954;;;
36;2,7026;2,7978;;0,0952;;;
37;2,6996;2,8055;;0,1059;;;
38;2,6964;2,8279;;0,1315;;;
39;2,7063;2,8215;;0,1152;;;
40;2,7077;2,8144;;0,1067;;;
41;0,3412;0,3752;;0,034;0,04942;2905;40°C
42;2,6987;2,7454;;0,0467;;;
43;2,7165;2,7739;;0,0574;;;
44;2,7076;2,7743;;0,0667;;;
45;2,7116;2,7461;;0,0345;;;
46;2,7211;2,7611;;0,04;;;
47;2,7325;2,7663;;0,0338;;;
48;2,7153;2,7846;;0,0693;;;
49;2,7187;2,7594;;0,0407;;;
50;2,722;2,7931;;0,0711;;;
51;2,7296;2,7574;;0,0278;0,03779;3000;40°C
52;2,7071;2,7586;;0,0515;;;
53;2,699;2,7255;;0,0265;;;
54;2,667;2,7079;;0,0409;;;
55;2,7046;2,7371;;0,0325;;;
56;2,6982;2,7371;;0,0389;;;
57;2,7071;2,7644;;0,0573;;;
58;2,6927;2,7248;;0,0321;;;
59;2,715;2,7493;;0,0343;;;
60;2,722;2,7581;;0,0361;;;
61;3,057;3,9541;;0,8971;0,86038;870;off
62;3,0473;3,9601;;0,9128;;;
63;3,0622;3,8406;;0,7784;;;
64;3,0606;3,8665;;0,8059;;;
65;3,0719;4,1157;;0,2492;;;
66;3,059;4,095;;1,036;;;
67;3,0563;3,9963;;0,94;;;
68;3,0583;4,0251;;0,9668;;;
69;3,0655;4,1113;;1,0458;;;
70;3,0409;4,0127;;0,9718;;;
71;2,9783;3,6561;;0,6778;0,68404;1500;off
72;3,0545;3,7514;;0,6969;;;
73;3,0359;3,6645;;0,6286;;;
74;3,0357;3,7509;;0,7152;;;
75;3,1051;3,7971;;0,692;;;
76;3,0482;3,6313;;0,5831;;;
77;3,0349;3,8207;;0,7858;;;
78;3,0388;3,6899;;0,6511;;;
79;3,0486;3,764;;0,7154;;;
80;3,0385;3,733;;0,6945;;;
