start_time;end_time;n_UL;T_drying
20.11.2025 09:00;20.11.2025 09:12;870;40
20.11.2025 09:17;20.11.2025 09:30;1500;40
20.11.2025 09:35;20.11.2025 09:47;2000;40
20.11.2025 09:52;20.11.2025 10:04;2500;40
20.11.2025 10:09;20.11.2025 10:21;2905;40
20.11.2025 10:26;20.11.2025 10:38;3000;40
20.11.2025 11:00;20.11.2025 11:12;870;0
20.11.2025 11:20;20.11.2025 11:35;1500;0
20.11.2025 00:00;20.11.2025 00:00;2000;0
20.11.2025 00:00;20.11.2025 00:00;2500;0
20.11.2025 00:00;20.11.2025 00:00;2905;0
20.11.2025 00:00;20.11.2025 00:00;3000;0
;;;
;;;
;;;
;;;
